Microsoft-Windows-DeviceUx,{ded165cf-485d-4770-a3e7-9c5f0320e80c}
Microsoft-Windows-DevMgmt-UefiCsp,{739d66d8-76c4-4004-873f-169ae5c6eaca}
Microsoft-Windows-DfsSvc,{7da4fe0e-fd42-4708-9aa5-89b77a224885}
Microsoft-Windows-Dhcp-Client,{15a7a4f8-0072-4eab-abad-f98a4d666aed}
Microsoft-Windows-DHCPv6-Client,{6a1f2b00-6a90-4c38-95a5-5cab3b056778}
Microsoft-Windows-DiagCpl,{1a396961-5f3c-4c71-8310-44c653c0bf8a}
Microsoft-Windows-Diagnosis-AdvancedTaskManager,{178dadaf-7ac4-4593-ab3e-a45fda6d0d55}
Microsoft-Windows-Diagnosis-DPS,{6bba3851-2c7e-4dea-8f54-31e5afd029e3}
Microsoft-Windows-Diagnosis-MSDE,{a50b09f8-93eb-4396-84c9-dc921259f952}
Microsoft-Windows-Diagnosis-PCW,{aabf8b86-7936-4fa2-acb0-63127f879dbf}
Microsoft-Windows-Diagnosis-PLA,{e4d53f84-7de3-11d8-9435-505054503030}
Microsoft-Windows-Diagnosis-Scheduled,{40ab57c2-1c53-4df9-9324-ff7cf898a02c}
Microsoft-Windows-Diagnosis-Scripted,{e1dd7e52-621d-44e3-a1ad-0370c2b25946}
Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider,{9363ccd9-d429-4452-9adb-2501e704b810}
Microsoft-Windows-Diagnosis-WDC,{05921578-2261-42c7-a0d3-26ddbce6c50d}
Microsoft-Windows-Diagnosis-WDI,{e01b1a7c-c5c9-4e67-99a9-5e85acfb2e10}
Microsoft-Windows-Diagnostics-LoggingChannel,{4bd2826e-54a1-4ba9-bf63-92b73ea1ac4a}
Microsoft-Windows-Diagnostics-Networking,{36c23e18-0e66-11d9-bbeb-505054503030}
Microsoft-Windows-Diagnostics-Performance,{cfc18ec0-96b1-4eba-961b-622caee05b0a}
Microsoft-Windows-Diagnostics-PerfTrack,{030f2f57-abd0-4427-bcf1-3a3587d7dc7d}
Microsoft-Windows-Direct3D10,{9b7e4c0f-342c-4106-a19f-4f2704f689f0}
Microsoft-Windows-Direct3D10_1,{9b7e4c8f-342c-4106-a19f-4f2704f689f0}
Microsoft-Windows-Direct3D11,{db6f6ddb-ac77-4e88-8253-819df9bbf140}
Microsoft-Windows-Direct3D12,{5d8087dd-3a9b-4f56-90df-49196cdc4f11}
Microsoft-Windows-Direct3DShaderCache,{2d4ebca6-ea64-453f-a292-ae2ea0ee513b}
Microsoft-Windows-DirectComposition,{c44219d0-f344-11df-a5e2-b307dfd72085}
Microsoft-Windows-DirectManipulation,{5786e035-ef2d-4178-84f2-5a6bbedbb947}
Microsoft-Windows-Directory-Services-SAM,{0d4fdc09-8c27-494a-bda0-505e4fd8adae}
Microsoft-Windows-Directory-Services-SAM-Utility,{bd8fea17-5549-4b49-aa03-1981d16396a9}
Microsoft-Windows-DirectShow-Core,{968f313b-097f-4e09-9cdd-bc62692d138b}
Microsoft-Windows-DirectShow-KernelSupport,{3cc2d4af-da5e-4ed4-bcbe-3cf995940483}
Microsoft-Windows-DirectSound,{8a93b54b-c75a-49b5-a5be-9060715b1a33}
Microsoft-Windows-Disk,{6b4db0bc-9a3d-467d-81b9-a84c6f2f3d40}
Microsoft-Windows-DiskDiagnostic,{e670a5a2-ce74-4ab4-9347-61b815319f4c}
Microsoft-Windows-DiskDiagnosticDataCollector,{e104fb41-6b04-4f3a-b47d-f0df2f02b954}
Microsoft-Windows-DiskDiagnosticResolver,{6b1ffe48-5b1e-4793-9f7f-ae926454499d}
Microsoft-Windows-Dism-Api,{75b0da21-8b50-42eb-9448-ec48b1729b57}
Microsoft-Windows-Dism-Cli,{2f959466-24d4-4972-8729-0d5e3539ebc3}
Microsoft-Windows-Display,{6ece3302-fee1-4ea9-8b88-086d459ed976}
Microsoft-Windows-DisplayColorCalibration,{3239eb6f-c7fc-4953-aa15-646829a4ca4c}
Microsoft-Windows-DisplaySwitch,{192ede41-9175-4c86-ac02-9d003c9d43ab}
Microsoft-Windows-DistributedCOM,{1b562e86-b7aa-4131-badc-b6f3a001407e}
Microsoft-Windows-DLNA-Namespace,{d38fb874-33e4-4dcf-911e-1b53bb106d53}
Microsoft-Windows-DNS-Client,{1c95126e-7eea-49a9-a3fe-a378b03ddb4d}
Microsoft-Windows-Documents,{c89b991e-3b48-49b2-80d3-ac000dfc9749}
Microsoft-Windows-DomainJoinManagerTriggerProvider,{5b004607-1087-4f16-b10e-979685a8d131}
Microsoft-Windows-DotNETRuntime,{e13c0d23-ccbc-4e12-931b-d9cc2eee27e4}
Microsoft-Windows-DotNETRuntimeRundown,{a669021c-c450-4609-a035-5af59af4df18}
Microsoft-Windows-DriverFrameworks-KernelMode-Performance,{486a5c7c-11cc-46c5-9de7-43dfe0bb57c1}
Microsoft-Windows-DriverFrameworks-UserMode,{2e35aaeb-857f-4beb-a418-2e6c0e54d988}
Microsoft-Windows-DriverFrameworks-UserMode-Performance,{9fa5dd5d-999e-466a-8ca9-7b3a66f8882f}
Microsoft-Windows-DriverProxy,{45c0e4cb-5120-5f84-0418-8a18ed702e9a}
Microsoft-Windows-DSC,{50df9e12-a8c4-4939-b281-47e1325ba63e}
Microsoft-Windows-DUI,{8360bd0f-a7dc-4391-91a7-a457c5c381e4}
Microsoft-Windows-DUSER,{8429e243-345b-47c1-8a91-2c94caf0daab}
Microsoft-Windows-DVD,{e18d0fca-9515-4232-98e4-89e456d8551b}
Microsoft-Windows-Dwm-Api,{292a52c4-fa27-4461-b526-54a46430bd54}
Microsoft-Windows-Dwm-Compositor,{044a9015-d96c-5dd1-0199-72d258325298}
Microsoft-Windows-Dwm-Core,{9e9bba3c-2e38-40cb-99f4-9e8281425164}
Microsoft-Windows-Dwm-Dwm,{d29d56ea-4867-4221-b02e-cfd998834075}
Microsoft-Windows-Dwm-Redir,{7d99f6a4-1bec-4c09-9703-3aaa8148347f}
Microsoft-Windows-Dwm-Udwm,{a2d1c713-093b-43a7-b445-d09370ec9f47}
Microsoft-Windows-DXGI,{ca11c036-0102-4a2d-a6ad-f03cfed5d3c9}
Microsoft-Windows-DXGIDebug,{f1ff64ef-faf3-5699-8e51-f6ec2fbd97d1}
Microsoft-Windows-DxgKrnl,{802ec45a-1e99-4b83-9920-87c98277ba9d}
Microsoft-Windows-DxgKrnl-SysMm,{9de90b19-62c4-511d-a1c5-9e990812d18b}
Microsoft-Windows-DXP,{728b8c72-0f0f-4071-9bcc-27cb3b6dacbe}
Microsoft-Windows-DxpTaskSyncProvider,{271c5228-c3fe-4e47-831f-48c3652ce5ac}
Microsoft-Windows-EapHost,{6eb8db94-fe96-443f-a366-5fe0cee7fb1c}
Microsoft-Windows-EapMethods-RasChap,{58980f4b-bd39-4a3e-b344-492ed2254a4e}
Microsoft-Windows-EapMethods-RasTls,{9cc0413e-5717-4af5-82eb-6103d8707b45}
Microsoft-Windows-EapMethods-Sim,{3d42a67d-9ce8-4284-b755-2550672b0ce0}
Microsoft-Windows-EapMethods-Ttls,{d710d46c-235d-4798-ac20-9f83e1dcd557}
Microsoft-Windows-EaseOfAccess,{74b4a4b1-2302-4768-ac5b-9773dd456b08}
Microsoft-Windows-EDP-AppLearning,{9803daa0-81ba-483a-986c-f0e395b9f8d1}
Microsoft-Windows-EDP-Audit-Regular,{50f99b2d-96d2-421f-be4c-222c4140da9f}
Microsoft-Windows-EDP-Audit-TCB,{287d59b6-79ba-4741-a08b-2fedeede6435}
Microsoft-Windows-EFS,{3663a992-84be-40ea-bba9-90c7ed544222}
Microsoft-Windows-ELS-Hyphenation,{51aedb05-890b-4ade-8ba1-0ba14b8e8973}
Microsoft-Windows-EndpointTriggerProvider,{92aab24d-d9a9-4a60-9f94-201fed3e3e88}
Microsoft-Windows-EnergyEfficiencyWizard,{1a772f65-be1e-4fc6-96bb-248e03fa60f5}
Microsoft-Windows-Energy-Estimation-Engine,{ddcc3826-a68a-4e0d-bcfd-9c06c27c6948}
Microsoft-Windows-EnhancedPhishingProtection-Events,{e8abc5fb-bf87-5462-278d-1b5e18775a8f}
Microsoft-Windows-EnhancedStorage-ClassDriver,{f6cf91be-e7d7-57d6-2a3d-278ca406d190}
Microsoft-Windows-EnhancedStorage-EhStorTcgDrv,{aa3aa23b-bb6d-425a-b58c-1d7e37f5d02a}
Microsoft-Windows-EQoS,{54cb22ff-26b4-4393-a8c2-6b0715912c5f}
Microsoft-Windows-ErrorReportingConsole,{017247f2-7e96-11dc-8314-0800200c9a66}
Microsoft-Windows-ESE,{478ea8a8-00be-4ba6-8e75-8b9dc7db9f78}
Microsoft-Windows-EventCollector,{b977cf02-76f6-df84-cc1a-6a4b232322b6}
Microsoft-Windows-Eventlog,{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}
Microsoft-Windows-EventLog-WMIProvider,{35ac6ce8-6104-411d-976c-877f183d2d32}
Microsoft-Windows-EventSystem,{899daace-4868-4295-afcd-9eb8fb497561}
Microsoft-Windows-exFAT-SQM,{494e7a3d-8db9-4ec4-b43e-2844af6e38d6}
Microsoft-Windows-FailoverClustering-Client,{a82fda5d-745f-409c-b0fe-18ae0678a0e0}
Microsoft-Windows-Fat-SQM,{3e59a529-b0b3-4a11-8129-9ffe6bb46eb9}
Microsoft-Windows-Fault-Tolerant-Heap,{6b93bf66-a922-4c11-a617-cf60d95c133d}
Microsoft-Windows-FeatureConfiguration,{c2f36562-a1e4-4bc3-a6f6-01a7adb643e8}
Microsoft-Windows-Feedback-Service-TriggerProvider,{e46eead8-0c54-4489-9898-8fa79d059e0e}
MicrosoftWindowsFileExplorer,{8e12dcd2-fe15-5af4-2a6a-e707d9dc7de5}
Microsoft-Windows-FileInfoMinifilter,{a319d300-015c-48be-acdb-47746e154751}
Microsoft-Windows-FilterManager,{f3c5e28e-63f6-49c7-a204-e48a1bc4b09d}
Microsoft-Windows-Firewall,{e595f735-b42a-494b-afcd-b68666945cd3}
Microsoft-Windows-Firewall-CPL,{546549be-9d63-46aa-9154-4f6eb9526378}
Microsoft-Windows-FirstUX-PerfInstrumentation,{fbef8096-2ca3-4082-acde-dcfb47e96b72}
Microsoft-Windows-FltMgrTrace_307b3ab035ae31a8462e37b4da258d1a,{307b3ab0-35ae-31a8-462e-37b4da258d1a}
Microsoft-Windows-FltMgrTrace_4d0b89d93def39952d07a17be000652e,{4d0b89d9-3def-3995-2d07-a17be000652e}
Microsoft-Windows-FltMgrTrace_d31e645ea71c307edb823c8f06985b81,{d31e645e-a71c-307e-db82-3c8f06985b81}
Microsoft-Windows-FMS,{dea07764-0790-44de-b9c4-49677b17174f}
Microsoft-Windows-Folder Redirection,{7d7b0c39-93f6-4100-bd96-4dda859652c5}
Microsoft-Windows-Forwarding,{699e309c-e782-4400-98c8-e21d162d7b7b}
Microsoft-Windows-FunctionDiscovery,{9db0fdb5-3b21-440e-a94b-63738a4be5de}
Microsoft-Windows-FunctionDiscoveryHost,{538cbbad-4877-4eb2-b26e-7caee8f0f8cb}
Microsoft-Windows-GenericRoaming,{4eacb4d0-263b-4b93-8cd6-778a278e5642}
Microsoft-Windows-Global Secure Access Client,{c4170aa9-da88-4800-806d-11efa20dba56}
Microsoft-Windows-GPIOButtons,{e13ff11e-e989-4838-a9fa-38a4d13914cf}
Microsoft-Windows-GPIO-ClassExtension,{55ab77f6-fa04-43ef-af45-688fbf500482}
Microsoft-Windows-GraphicsCapture-API,{347d2cdf-f126-56d7-12b1-69e27c655d7e}
Microsoft-Windows-Graphics-Capture-Server,{7d0cbd25-390e-524d-8c1e-2a8e846055c0}
Microsoft-Windows-Graphics-Printing,{e7aa32fb-77d0-477f-987d-7e83df1b7ed0}
Microsoft-Windows-Graphics-Printing3D,{be967569-e3c8-425b-ad0e-4f2c790b1848}
Microsoft-Windows-GroupPolicy,{aea1b4fa-97d1-45f2-a64c-4d69fffd92c9}
Microsoft-Windows-GroupPolicyTriggerProvider,{bd2f4252-5e1e-49fc-9a30-f3978ad89ee2}
Microsoft-Windows-HAL,{63d1e632-95cc-4443-9312-af927761d52a}
Microsoft-Windows-HealthCenter,{588c5c5a-ffc5-44a2-9a7f-d5e8dbe6efd7}
Microsoft-Windows-HealthCenterCPL,{959f1fac-7ca8-4ed1-89dc-cdfa7e093cb0}
Microsoft-Windows-Heap-Snapshot,{901d2afa-4ff6-46d7-8d0e-53645e1a47f5}
Microsoft-Windows-HelloForBusiness,{906b8a99-63ce-58d7-86ab-10989bbd5567}
Microsoft-Windows-Help,{de513a55-c345-438b-9a74-e18cac5c5cc5}
Microsoft-Windows-hidcfu,{7628e972-6d6f-4974-b58f-6428622ec09a}
Microsoft-Windows-HomeGroup-ControlPanel,{134ea407-755d-4a93-b8a6-f290cd155023}
Microsoft-Windows-Hotpatch-Monitor,{57eaf242-3772-533c-9fd2-29ed95606d14}
Microsoft-Windows-HotspotAuth,{de095dbe-8667-4168-94c2-48ca61665aca}
Microsoft-Windows-HttpEvent,{7b6bc78c-898b-4170-bbf8-1a469ea43fc5}
Microsoft-Windows-HttpLog,{c42a2738-2333-40a5-a32f-6acc36449dcc}
Microsoft-Windows-HttpService,{dd5ef90a-6398-47a4-ad34-4dcecdef795f}
Microsoft-Windows-Http-SQM-Provider,{f5344219-87a4-4399-b14a-e59cd118abb8}
Microsoft-Windows-Hyper-V-ComputeLib,{af7fd3a7-b248-460c-a9f5-fec39ef8468c}
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory,{ba2ffb5c-e20a-4fb9-91b4-45f61b4b66a0}
Microsoft-Windows-Hyper-V-Guest-Drivers-Vmbus,{f2e2ce31-0e8a-4e46-a03b-2e0fe97e93c2}
Microsoft-Windows-Hyper-V-Hypervisor,{52fc89f8-995e-434c-a91e-199986449890}
Microsoft-Windows-Hyper-V-KMCL-Child,{16d90d71-caca-5cd9-a618-8210d93015f3}
Microsoft-Windows-Hyper-V-Netvsc,{152fbe4b-c7ad-4f68-bada-a4fcc1464f6c}
Microsoft-Windows-Hyper-V-VID,{5931d877-4860-4ee7-a95c-610a5f0d1407}
Microsoft-Windows-IdCtrls,{6d7662a9-034e-4b1f-a167-67819c401632}
Microsoft-Windows-IdleTriggerProvider,{9e03f75a-bcbe-428a-8f3c-d46f2a444935}
Microsoft-Windows-IE-F12-Provider,{d17fff2f-392d-478c-a41d-737a216eb2a4}
Microsoft-Windows-IE-SmartScreen,{52f82079-1974-4c67-81da-807b892778bb}
Microsoft-Windows-IME-Broker,{e2c15fd7-8924-4c8c-8cfe-da0be539ce27}
Microsoft-Windows-IME-CandidateUI,{7c4117b1-ed82-4f47-b2ca-29e4e25719c7}
Microsoft-Windows-IME-CustomerFeedbackManager,{e2242b38-9453-42fd-b446-00746e76eb82}
Microsoft-Windows-IME-CustomerFeedbackManagerUI,{1b734b40-a458-4b81-954f-ad7c9461bed8}
Microsoft-Windows-IME-JPAPI,{31bcac7f-4ab8-47a1-b73a-a161ee68d585}
Microsoft-Windows-IME-JPLMP,{dbc388bc-89c2-4fe0-b71f-6e4881fb575c}
Microsoft-Windows-IME-JPPRED,{3ad571f3-bdae-4942-8733-4d1b85870a1e}
Microsoft-Windows-IME-JPSetting,{14371053-1813-471a-9510-1cf1d0a055a8}
Microsoft-Windows-IME-JPTIP,{8c8a69ad-cc89-481f-bbad-fd95b5006256}
Microsoft-Windows-IME-KRAPI,{7562948e-2671-4dda-8f8f-bf945ef984a1}
Microsoft-Windows-IME-KRTIP,{e013e74b-97f4-4e1c-a120-596e5629ecfe}
Microsoft-Windows-IME-OEDCompiler,{fd44a6e7-580f-4a9c-83d9-d820b7d3a033}
Microsoft-Windows-IME-TCCORE,{f67b2345-47fa-4721-a6fb-fe08110eecf7}
Microsoft-Windows-IME-TCTIP,{d5268c02-6f51-436f-983b-74f2efbfaf3a}
Microsoft-Windows-IME-TIP,{bdd4b92e-19ef-4497-9c4a-e10e7fd2e227}
Microsoft-Windows-Immersive-Shell,{315a8872-923e-4ea2-9889-33cd4754bf64}
Microsoft-Windows-Immersive-Shell-API,{5f0e257f-c224-43e5-9555-2adcb8540a58}
Microsoft-Windows-IndirectDisplays-ClassExtension-Events,{966cd1c0-3f69-42ad-9877-517dce8462b4}
Microsoft-Windows-Input-HIDCLASS,{6465da78-e7a0-4f39-b084-8f53c7c30dc6}
Microsoft-Windows-InputSwitch,{bb8e7234-bbf4-48a7-8741-339206ed1dfb}
Microsoft-Windows-Install-Agent,{e0c6f6de-258a-50e0-ac1a-103482d118bc}
Microsoft-Windows-International-RegionalOptionsControlPanel,{c6bf6832-f7bd-4151-ac21-753ce4707453}
Microsoft-Windows-Iphlpsvc,{66a5c15c-4f8e-4044-bf6e-71d896038977}
Microsoft-Windows-Iphlpsvc-Trace,{6600e712-c3b6-44a2-8a48-935c511f28c8}
Microsoft-Windows-IPMIProvider,{2a45d52e-bbf3-4843-8e18-b356ed5f6a65}
Microsoft-Windows-IPNAT,{a67075c2-3e39-4109-b6cd-6d750058a732}
Microsoft-Windows-IPSEC-SRV,{c91ef675-842f-4fcf-a5c9-6ea93f2e4f8b}
Microsoft-Windows-IPxlatCfg,{3e5ac668-af52-4c15-b99b-a3e7a6616ebd}
Microsoft-Windows-IsolatedUserMode,{73a33ab2-1966-4999-8add-868c41415269}
Microsoft-Windows-KdsSvc,{89203471-d554-47d4-bde4-7552ec219999}
Microsoft-Windows-Kerberos-Local-Key-Distribution-Center,{57c834d7-0368-5d1b-8f01-1e2f89f0000d}
Microsoft-Windows-Kernel-Acpi,{c514638f-7723-485b-bcfc-96565d735d4a}
Microsoft-Windows-Kernel-AppCompat,{16a1adc1-9b7f-4cd9-94b3-d8296ab1b130}
Microsoft-Windows-Kernel-Audit-API-Calls,{e02a841c-75a3-4fa7-afc8-ae09cf9b7f23}
Microsoft-Windows-Kernel-Boot,{15ca44ff-4d7a-4baa-bba5-0998955e531e}
Microsoft-Windows-Kernel-BootDiagnostics,{96ac7637-5950-4a30-b8f7-e07e8e5734c1}
Microsoft-Windows-Kernel-Cache,{a2d34bf1-70ab-5b21-c819-5a0dd42748fd}
Microsoft-Windows-Kernel-CPU-Partition,{3a493674-937f-5a23-f598-d56b9bd10d28}
Microsoft-Windows-Kernel-CPU-Starvation,{7f54ca8a-6c72-5cbc-b96f-d0ef905b8bce}
Microsoft-Windows-Kernel-Disk,{c7bde69a-e1e0-4177-b6ef-283ad1525271}
Microsoft-Windows-Kernel-Dump,{17d2a329-4539-5f4d-3435-f510634ce3b9}
Microsoft-Windows-Kernel-EventTracing,{b675ec37-bdb6-4648-bc92-f3fdc74d3ca2}
Microsoft-Windows-Kernel-File,{edd08927-9cc4-4e65-b970-c2560fb5c289}
Microsoft-Windows-Kernel-General,{a68ca8b7-004f-d7b6-a698-07e2de0f1f5d}
Microsoft-Windows-Kernel-Interrupt-Steering,{951b41ea-c830-44dc-a671-e2c9958809b8}
Microsoft-Windows-Kernel-IO,{abf1f586-2e50-4ba8-928d-49044e6f0db7}
Microsoft-Windows-Kernel-IoTrace,{a103cabd-8242-4a93-8df5-1cdf3b3f26a6}
Microsoft-Windows-Kernel-LicensingSqm,{a0af438f-4431-41cb-a675-a265050ee947}
Microsoft-Windows-Kernel-Licensing-StartServiceTrigger,{f5528ada-be5f-4f14-8aef-a95de7281161}
Microsoft-Windows-Kernel-LiveDump,{bef2aa8e-81cd-11e2-a7bb-5eac6188709b}
Microsoft-Windows-Kernel-Memory,{d1d93ef7-e1f2-4f45-9943-03d245fe6c00}
Microsoft-Windows-Kernel-Network,{7dd42a49-5329-4832-8dfd-43d979153a88}
Microsoft-Windows-Kernel-Pep,{5412704e-b2e1-4624-8ffd-55777b8f7373}
Microsoft-Windows-Kernel-PnP,{9c205a39-1250-487d-abd7-e831c6290539}
Microsoft-Windows-Kernel-PnP-Rundown,{b3a0c2c8-83bb-4ddf-9f8d-4b22d3c38ad7}
Microsoft-Windows-Kernel-Power,{331c3b3a-2005-44c2-ac5e-77220c37d6b4}
Microsoft-Windows-Kernel-PowerTrigger,{aa1f73e8-15fd-45d2-abfd-e7f64f78eb11}
Microsoft-Windows-Kernel-Prefetch,{5322d61a-9efa-4bc3-a3f9-14be95c144f8}
Microsoft-Windows-Kernel-Prm,{b931ed29-66f4-576e-0579-0b8818a5dc6b}
Microsoft-Windows-Kernel-Process,{22fb2cd6-0e7b-422b-a0c7-2fad1fd0e716}
Microsoft-Windows-Kernel-Processor-Power,{0f67e49f-fe51-4e9f-b490-6f2948cc6027}
Microsoft-Windows-Kernel-Registry,{70eb4f03-c1de-4f73-a051-33d13d5413bd}
Microsoft-Windows-Kernel-ShimEngine,{0bf2fb94-7b60-4b4d-9766-e82f658df540}
Microsoft-Windows-Kernel-StoreMgr,{a6ad76e3-867a-4635-91b3-4904ba6374d7}
Microsoft-Windows-KernelStreaming,{548c4417-ce45-41ff-99dd-528f01ce0fe1}
Microsoft-Windows-Kernel-Tm,{4cec9c95-a65f-4591-b5c4-30100e51d870}
Microsoft-Windows-Kernel-Tm-Trigger,{ce20d1c3-a247-4c41-bcb8-3c7f52c8b805}
Microsoft-Windows-Kernel-WDI,{2ff3e6b7-cb90-4700-9621-443f389734ed}
Microsoft-Windows-Kernel-WHEA,{7b563579-53c8-44e7-8236-0f87b9fe6594}
Microsoft-Windows-Kernel-Work-Queue,{5071a971-a047-58c9-ffda-4df1788ef21a}
Microsoft-Windows-Kernel-WSService-StartServiceTrigger,{3635d4b6-77e3-4375-8124-d545b7149337}
Microsoft-Windows-Kernel-XDV,{f029ac39-38f0-4a40-b7de-404d244004cb}
Microsoft-Windows-KeyboardFilter,{84de80eb-86e8-4ff6-85a6-9319abd578a4}
Microsoft-Windows-KnownFolders,{8939299f-2315-4c5c-9b91-abb86aa0627d}
Microsoft-Windows-L2NACP,{85fe7609-ff4a-48e9-9d50-12918e43e1da}
Microsoft-Windows-LanGPA,{cb070027-1534-4cf3-98ea-b9751f508376}
Microsoft-Windows-LanguagePackSetup,{7237fff9-a08a-4804-9c79-4a8704b70b87}
Microsoft-Windows-LAPS,{4fcc72a9-d7ca-5dd2-8d34-6f41a0cdb7e0}
Microsoft-Windows-LDAP-Client,{099614a5-5dd7-4788-8bc9-e29f43db28fc}
Microsoft-Windows-LimitsManagement,{73aa0094-facb-4aeb-bd1d-a7b98dd5c799}
Microsoft-Windows-LinkLayerDiscoveryProtocol,{dcbfb8f0-cd19-4f1c-a27d-23ac706ded72}
Microsoft-Windows-LiveId,{05f02597-fe85-4e67-8542-69567ab8fd4f}
Microsoft-Windows-LLTD-Mapper,{ccc64809-6b5f-4c1b-ab39-336904da9b3b}
Microsoft-Windows-LLTD-MapperIO,{0741c7be-daac-4a5b-b00a-4bd9a2d89d0e}
Microsoft-Windows-LLTD-Responder,{e159fc63-02fe-42f3-a234-028b9b8561cb}
Microsoft-Windows-LocationServiceProvider,{8e889f0c-7d54-52b3-e4ae-2c8b27a482c2}
Microsoft-Windows-LUA,{93c05d69-51a3-485e-877f-1806a8731346}
Microsoft-Windows-Magnification,{c882ff1d-7585-4b33-b135-95c577179137}
Microsoft-Windows-Management-SecureAssessment,{a329cf81-57ec-46ed-ab7c-261a52b0754a}
Microsoft-Windows-MapControls,{acd88d21-e1d4-4483-b974-0c1da66cc529}
Microsoft-Windows-MCCS-AccountAccessor,{4025d192-273d-42ec-bdf8-940ec34eedca}
Microsoft-Windows-MCCS-AccountsHost,{04eccf8e-8490-4ad1-8ed5-0ae7750e69e6}
Microsoft-Windows-MCCS-AccountsRT,{dd2743c6-1722-4674-9f6f-c80044c4232e}
Microsoft-Windows-MCCS-ActiveSyncCsp,{602a0873-9bde-48b3-b6b7-277035293458}
Microsoft-Windows-MCCS-ActiveSyncProvider,{4a155f10-25ad-47e6-aba8-2c4f5eee7846}
Microsoft-Windows-MCCS-DavSyncProvider,{5d86c4e2-8fcd-48d7-a713-9a04609c0189}
Microsoft-Windows-MCCS-EngineShared,{bf460fc6-45c5-4119-add3-e361a6e7d5ac}
Microsoft-Windows-MCCS-InternetMail,{618473bc-8eef-4868-adff-a1b640b06411}
Microsoft-Windows-MCCS-InternetMailCsp,{bec5e7a4-0527-42e8-8174-fabde799ad7f}
Microsoft-Windows-MCCS-NetworkHelper,{25b99a4c-2f80-4fcd-982d-69cd1f77badf}
Microsoft-Windows-MCCS-SyncController,{7fcb9791-f481-46d1-846e-2eb6f003c4d3}
Microsoft-Windows-MCCS-SyncUtil,{dca074ce-547c-4595-ae90-56229b8e3bd9}
Microsoft-Windows-MediaEngine,{8f2048e0-f260-4f57-a8d1-932376291682}
Microsoft-Windows-MediaFoundation-MFCaptureEngine,{b8197c10-845f-40ca-82ab-9341e98cfc2b}
Microsoft-Windows-MediaFoundation-MFReadWrite,{4b7eac67-fc53-448c-a49d-7cc6db524da7}
Microsoft-Windows-MediaFoundation-MSVProc,{a4112d1a-6dfa-476e-bb75-e350d24934e1}
Microsoft-Windows-MediaFoundation-Performance,{f404b94e-27e0-4384-bfe8-1d8d390b0aa3}
Microsoft-Windows-MediaFoundation-Performance-Core,{b20e65ac-c905-4014-8f78-1b6a508142eb}
Microsoft-Windows-MediaFoundation-Platform,{bc97b970-d001-482f-8745-b8d7d5759f99}
Microsoft-Windows-MediaFoundation-PlayAPI,{b65471e1-019d-436f-bc38-e15fa8e87f53}
Microsoft-Windows-Media-Protection-PlayReady-Performance,{d2402fde-7526-5a7b-501a-25dc7c9c282e}
Microsoft-Windows-Media-Streaming,{982824e5-e446-46ae-bc74-836401ffb7b6}
Microsoft-Windows-MemoryDiagnostics-Results,{5f92bc59-248f-4111-86a9-e393e12c6139}
Microsoft-Windows-MF,{a7364e1a-894f-4b3d-a930-2ed9c8c4c811}
Microsoft-Windows-MF-FrameServer,{9e22a3ed-7b32-4b99-b6c2-21dd6ace01e1}
Microsoft-Windows-MFH264Enc,{2a49de31-8a5b-4d3a-a904-7fc7409ae90d}
Microsoft-Windows-MF-MFDshowReverseBridge,{aa1105fa-5af2-5fd6-89b5-002421c5e2ca}
Microsoft-Windows-Minstore,{55b24b1d-dd9c-44c0-ba77-4f749f1b6976}
Microsoft-Windows-MMCSS,{36008301-e154-466c-acec-5f4cbd6b4694}
Microsoft-Windows-Mobile-Broadband-Experience-Api,{2e2bbb16-0c36-4b9b-a567-40924a199fd5}
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal,{2aabd03b-f48b-419a-b4ce-7a14403f4a46}
Microsoft-Windows-Mobile-Broadband-Experience-SmsApi,{0ff1c24b-7f05-45c0-abdc-3c8521be4f62}
Microsoft-Windows-MobilityCenter,{91f42016-0b4e-4a4b-9bbb-825d06cbed35}
Microsoft-Windows-mobsync,{b44aec44-38f4-4b59-8df3-10306abf19b2}
Microsoft-Windows-ModernDeployment-Diagnostics-Provider,{bab3ad92-fb96-5902-450b-b8421bdec7bd}
Microsoft-Windows-MosHost,{d116f0f2-a6d6-4f1f-bdda-0c88c8d1f2e9}
Microsoft-Windows-MountMgr,{e3bac9f8-27be-4823-8d7f-1cc320c05fa7}
Microsoft-Windows-MP4SDECD,{7f2bd991-ae93-454a-b219-0bc23f02262a}
Microsoft-Windows-MPEG2_DLNA-Encoder,{86efff39-2bdd-4efd-bd0b-853d71b2a9dc}
Microsoft-Windows-Mprddm,{3a5bef13-d0f7-4e7f-9ec8-5e707df711d0}
Microsoft-Windows-MPRMSG,{f2c628ae-d26c-4352-9c45-74754e1e2f9f}
Microsoft-Windows-MPS-CLNT,{37945dc2-899b-44d1-b79c-dd4a9e57ff98}
Microsoft-Windows-MPS-DRV,{50bd1bfd-936b-4db3-86be-e25b96c25898}
Microsoft-Windows-MPS-SRV,{5444519f-2484-45a2-991e-953e4b54c8e0}
Microsoft-Windows-MPTF,{ea6c5bea-f5cc-56a4-e146-671bf483d53b}
